ACTIN11_ | Core | 11 | 6 |  Calculated Variables 
ACTIN21_ | Core | 11 | 7 |  Calculated Variables 
ADANXEV | Module | 25 | 10 |  Anxiety and Depression 
ADDEPEV2 | Core | 6 | 10 |  Chronic Health Conditions 
ADDOWN | Module | 25 | 2 |  Anxiety and Depression 
ADEAT1 | Module | 25 | 5 |  Anxiety and Depression 
ADENERGY | Module | 25 | 4 |  Anxiety and Depression 
ADFAIL | Module | 25 | 6 |  Anxiety and Depression 
ADMOVE | Module | 25 | 8 |  Anxiety and Depression 
ADPLEASR | Module | 25 | 1 |  Anxiety and Depression 
ADSLEEP | Module | 25 | 3 |  Anxiety and Depression 
ADTHINK | Module | 25 | 7 |  Anxiety and Depression 
ALCDAY5 | Core | 9 | 1 |  Alcohol Consumption 
ARTHDIS2 | Core | 12 | 2 |  Arthritis Burden 
ARTHEDU | Module | 10 | 4 |  Arthritis Management 
ARTHEXER | Module | 10 | 3 |  Arthritis Management 
ARTHSOCL | Core | 12 | 3 |  Arthritis Burden 
ARTHWGT | Module | 10 | 2 |  Arthritis Management 
ARTTODAY | Module | 10 | 1 |  Arthritis Management 
ASACTLIM | Module | 8 | 6 |  Adult Asthma History 
ASATTACK | Module | 8 | 2 |  Adult Asthma History 
ASDRVIST | Module | 8 | 4 |  Adult Asthma History 
ASERVIST | Module | 8 | 3 |  Adult Asthma History 
ASINHALR | Module | 8 | 10 |  Adult Asthma History 
ASNOSLEP | Module | 8 | 8 |  Adult Asthma History 
ASPUNSAF | Module | 9 | 4 |  Cardiovascular Health 
ASRCHKUP | Module | 8 | 5 |  Adult Asthma History 
ASTHMA3 | Core | 6 | 4 |  Chronic Health Conditions 
ASTHMAGE | Module | 8 | 1 |  Adult Asthma History 
ASTHMED3 | Module | 8 | 9 |  Adult Asthma History 
ASTHNOW | Core | 6 | 5 |  Chronic Health Conditions 
ASYMPTOM | Module | 8 | 7 |  Adult Asthma History 
AVEDRNK2 | Core | 9 | 2 |  Alcohol Consumption 
